id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
comentario_1338784,"A hipocrisia feminina, como sempre, é muito fácil de se demonstrar. Basta apenas que um homem fizesse algo parecido em relação às despesas de casa e dizer:""Não sou teu pai."" A chuva de ódio feminino em relação ao sujeito seria simplesmente INTERMINÁVEL. Obrigado pelos bons conselhos de sempre, Padrinho.",1,1,0.7607024908065796,0.0005759054329246283,0.0026795491576194763,0.2391950786113739,0.6530659794807434,0.0015675282338634133,0.0023502702824771404,1,0.6
comentario_902047,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0,0,0.008425385691225529,4.267789699952118e-05,0.0019774597603827715,0.0001338828878942877,0.005133636295795441,4.891661592409946e-05,0.00017424834368284792,0,0.6
comentario_733830,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0,0,0.0010272396029904485,2.5203922632499598e-05,0.00036536072730086744,0.0001158355808001943,0.0006287803989835083,2.813028186210431e-05,3.4579436032800004e-05,0,0.6
comentario_1612217,O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,0,0.000479204289149493,6.165800732560456e-05,0.0003372584469616413,0.00011233646364416927,0.00019939309277106076,7.717892003711313e-05,8.78908540471457e-05,0,0.6
comentario_664708,tapa na cara aqui no Brasil só se auferido por uma mulher 😅,0,0,0.21209630370140076,0.0014304079813882709,0.016420535743236542,0.011258029378950596,0.013463018462061882,0.044385701417922974,0.027030274271965027,0,0.6
comentario_2608796,Parabéns pela sua atitude...Um homem de alto valor não fica sem trabalho porque quer.As fazes da vida chega pra todos... não importa se é homem ou mulher.,0,0,0.007986078970134258,0.0005216086865402758,0.0014766691019758582,0.0032128721941262484,0.002824100200086832,0.0007551191374659538,0.00121185346506536,0,0.6
comentario_927749,Eu fui traída filha sempre fui uma mulher legal,0,0,0.01456262543797493,0.00018310887389816344,0.0012719156220555305,0.004698026459664106,0.002228550845757127,0.0005223361076787114,0.0013803152833133936,0,0.6
comentario_2621755,O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0,0,0.024328334257006645,5.852140748174861e-05,0.002557562431320548,0.00023772069835104048,0.012255778536200523,0.0002281774941366166,0.0002297637693118304,0,0.6
comentario_2292130,Meu Deus do céu q mundo é esse Jesus,0,0,0.03157251700758934,0.00031839238363318145,0.005488329567015171,0.003327204380184412,0.003892278065904975,0.0005880416138097644,0.000917144410777837,0,0.6
comentario_1553427,"  tá n mn, tipo eu entendo q n precisa escrever bem no yt e pd abreviar, mas algumas coisas são obrigatórias...",0,0,0.12358426302671432,0.0013008688110858202,0.07247104495763779,0.0022598053328692913,0.023246141150593758,0.0009396685054525733,0.001014184788800776,0,0.6
