id_video_anonimizado,text,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
video_10084,As pessoas podem mudar? | Thiago Schutz #shorts #reflexão #relacionamento #amor #mulher #fyp,0,0,0.0008938509272411466,0.0008601893205195665,0.0065706269815564156,0.0011768410913646221,0.0045885988511145115,0.00047750031808391213,0.0016439477913081646,0,0.1
video_10114,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,1,1,0.008036687970161438,0.0006259760702960193,0.0024993845727294683,0.00221171579323709,0.00321278371848166,0.0006182073848322034,0.0016309479251503944,0,0.1
video_10147,"A verdade por trás dos posts sensuais! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1,0.0038414415903389454,0.0002384810068178922,0.005227797199040651,0.0003060308808926493,0.006272927857935429,0.00025884094065986574,0.0003500312159303576,0,0.1
video_10157,Mulheres Israelitas 🎯😍,1,0,0.008777855895459652,0.0010860514594241977,0.0025967268738895655,0.01160304807126522,0.004884541034698486,0.0008686461951583624,0.0015725101111456752,0,0.1
video_10172,"OS HOMENS NÃO QUEREM MAIS FICAR FAZENDO A VONTADE DAS MULHERES E ELAS ESTÃO DESESPERADAS#humor#memes Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",1,1,0.0890372171998024,0.0007299803546629846,0.005714776460081339,0.01692144013941288,0.028192244470119476,0.0012679863721132278,0.004069664049893618,0,0.1
video_10201,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,1,0,0.015757767483592033,0.0004957480705343187,0.001641725772060454,0.00614542979747057,0.004425231833010912,0.001002832897938788,0.0013841702602803707,0,0.1
video_10241,Traição não começa em um quarto de motel porque nada começa grande 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,0.0005410835146903992,0.006243158131837845,0.03464624285697937,0.004330790601670742,0.028267014771699905,0.002868003910407424,0.0016197491204366088,0,0.1
video_10254,"A diferença entre o louco e o gênio é o resultado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,0.04658091068267822,7.863590872148052e-05,0.002437176648527384,0.0003048067737836391,0.05348416045308113,0.00012743225670419633,0.00020221811428200454,0,0.1
video_10266,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",1,1,0.004519996233284473,0.0004379702149890363,0.001387744559906423,0.0020739843603223562,0.002109709894284606,0.0005372661398723722,0.001023839577101171,0,0.1
video_10321,Vale a pena casamento hoje em dia? | Thiago Schutz #shorts #relacionamento #casamento #reflexão #fyp,0,0,0.0007462198263965547,0.004821065813302994,0.03346535563468933,0.005552069749683142,0.023349078372120857,0.002069873036816716,0.0011860207887366414,0,0.1
video_10353,O juízo final está próximo. Arrependa-se! #sigma #evolução #homem #homemdevalor #masculinidade #valores #motivação #react #respeito #humildade #principios #evoluir #shorts,0,0,0.0019852877594530582,0.0001613850618014112,0.0006059454753994942,0.00039413239574059844,0.00143147143535316,0.00026695086853578687,0.00025030772667378187,0,0.1
