id_video_anonimizado,text,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
video_10009,3 tipos de mulheres que o homem nunca deve namorar #sedução #conquistar #namoro #namorar #solteiros,1,0,0.20126929879188538,0.0009500702726654708,0.0059368666261434555,0.016038332134485245,0.010553925298154354,0.001895127003081143,0.10258198529481888,1,0.1
video_10058,Hoje fazem 27 dias sem a minha mãe 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0,0,0.0009493021643720567,0.007879318669438362,0.037725478410720825,0.0037597620394080877,0.02565462328493595,0.002471569459885359,0.0034190870355814695,0,0.1
video_10114,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,1,1,0.008036687970161438,0.0006259760702960193,0.0024993845727294683,0.00221171579323709,0.00321278371848166,0.0006182073848322034,0.0016309479251503944,0,0.1
video_10136,Qual a diferença entre amar e gostar da utilidade da outra pessoa? 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,0.0005006779101677239,0.0074121686629951,0.04360754042863846,0.005809564609080553,0.0369674451649189,0.0028867521323263645,0.0016895504668354988,0,0.1
video_10160,"VOCÊ ESTÁ SE ESPELHANDO COM O OUTRO  #homemdealtovalor #seducao #podcast #comportamentomasculino 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https://bit.ly/47tJ0bQ- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",0,0,0.0004974920302629471,5.692973354598507e-05,0.0003477456921245903,0.000132992587168701,0.00029515178175643086,8.186879858840257e-05,8.071748015936464e-05,0,0.1
video_10179,"Em menos de 1 ano de separado consegui uma moto e mn casa, e a ex tá no fnd do poço e grávida 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo",0,1,0.0008258518064394593,0.004636253230273724,0.024403125047683716,0.0029115413781255484,0.017286812886595726,0.0024098469875752926,0.003051611827686429,0,0.1
video_10198,Se você não depender do seu marido você vai se acabar 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1,1,0.04804007336497307,0.00847406592220068,0.042494677007198334,0.0054976134561002254,0.035573914647102356,0.01118267048150301,0.005199517589062452,0,0.1
video_1021,"Marido implicou com personal, o que fazer? | Qual a sua opinião? #rafaelaires  #antiotario  #redpillbrasil",0,0,0.0019348061177879572,0.003211862873286009,0.032079603523015976,0.004895962309092283,0.032289113849401474,0.001418513129465282,0.0009751534671522677,0,0.1
video_10235,"O não vc já tem... #hackeandoamatrix #hackeandoamatrix #morenotatuado #homemdealtovalor        ⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:",0,0,0.0020263465121388435,0.00029708960209973156,0.001023777644149959,0.0006484717596322298,0.0011882721446454525,0.0003658710338640958,0.0005839888472110033,0,0.1
video_10246,RAIAM SANTOS FALA SOBRE GU3RRA...,0,0,0.4530898630619049,0.0031424821354448795,0.05324564129114151,0.004562114831060171,0.06499794870615005,0.003519203746691346,0.006742076948285103,1,0.1
